ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
20228,HV102986,01/03/2012 12:07:00 PM,010XX N PULASKI RD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1111,11,37,23,01A,1149528,1906741,2012,08/31/2022 04:51:30 PM,41.900017263,-87.726225708,"(41.900017263, -87.726225708)"
21212,HX102390,01/03/2014 04:08:00 PM,003XX W 114TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,522,5,34,49,01A,1176200,1829335,2014,09/18/2022 04:45:51 PM,41.687047734,-87.630583507,"(41.687047734, -87.630583507)"
21714,HY102349,01/03/2015 05:50:00 AM,050XX W SUPERIOR ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1531,15,28,25,01A,1142667,1904504,2015,08/31/2022 04:51:30 PM,41.894009145,-87.751482327,"(41.894009145, -87.751482327)"
22249,HZ101842,01/03/2016 01:17:00 PM,063XX S STONY ISLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,314,3,20,42,01A,1187960,1863364,2016,08/31/2022 04:51:30 PM,41.780155491,-87.586451255,"(41.780155491, -87.586451255)"
23062,JA103468,01/03/2017 11:52:00 PM,032XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1134,11,24,27,01A,1154943,1896522,2017,09/18/2022 04:45:51 PM,41.871868444,-87.706610311,"(41.871868444, -87.706610311)"
23061,JA102602,01/03/2017 12:20:00 PM,034XX W FULTON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,11,28,27,01A,1153437,1901785,2017,09/18/2022 04:45:51 PM,41.886340707,-87.711999596,"(41.886340707, -87.711999596)"
24584,JB102719,01/03/2018 11:38:00 AM,068XX S EVANS AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,321,3,20,42,01A,1182393,1859883,2018,09/18/2022 04:45:51 PM,41.77073417,-87.606968284,"(41.77073417, -87.606968284)"
24368,JC103046,01/03/2019 02:37:00 PM,050XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,224,2,3,38,01A,1178455,1871575,2019,08/31/2022 04:51:30 PM,41.802908524,-87.62104831,"(41.802908524, -87.62104831)"
24369,JC103046,01/03/2019 02:37:00 PM,050XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,224,2,3,38,01A,1178455,1871575,2019,08/31/2022 04:51:30 PM,41.802908524,-87.62104831,"(41.802908524, -87.62104831)"
24893,JD103496,01/03/2020 08:57:00 PM,060XX S RACINE AVE,110,HOMICIDE,FIRST DEGREE MURDER,RETAIL STORE,true,false,712,7,16,68,01A,1169357,1864643,2020,08/31/2022 04:51:30 PM,41.78408837,-87.654615414,"(41.78408837, -87.654615414)"
25384,JD103280,01/03/2020 08:58:00 AM,018XX N SPAULDING AVE,110,HOMICIDE,FIRST DEGREE MURDER,NURSING HOME,true,true,1422,14,1,22,01A,1153854,1911931,2020,09/18/2022 04:45:51 PM,41.914173986,-87.710197635,"(41.914173986, -87.710197635)"
25702,JE102438,01/03/2021 08:09:00 PM,068XX S STONY ISLAND AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,332,3,5,43,01A,1188038,1860051,2021,08/31/2022 04:51:30 PM,41.771062488,-87.586270811,"(41.771062488, -87.586270811)"
25703,JE100022,01/03/2021 09:28:00 PM,087XX S BUFFALO AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,424,4,10,46,01A,1199560,1847617,2021,10/20/2022 04:46:19 PM,41.736660376,-87.54445421,"(41.736660376, -87.54445421)"
26549,JF101875,01/03/2022 12:01:00 AM,126XX S PRINCETON AVE,110,HOMICIDE,FIRST DEGREE MURDER,DRIVEWAY,false,false,523,5,9,53,01A,1176584,1821134,2022,09/18/2022 04:45:51 PM,41.664534305,-87.629423005,"(41.664534305, -87.629423005)"
27284,JG102429,01/03/2023 03:03:00 AM,011XX W 63RD ST,110,HOMICIDE,FIRST DEGREE MURDER,GAS STATION DRIVE/PROP.,true,false,724,7,16,68,01A,1169601,1863016,2023,01/10/2023 03:48:04 PM,41.779618399,-87.653767961,"(41.779618399, -87.653767961)"
19241,HS104874,01/04/2010 05:15:00 PM,029XX W 61ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,823,8,15,66,01A,1157658,1864046,2010,09/18/2022 04:45:51 PM,41.782695521,-87.697524811,"(41.782695521, -87.697524811)"
19240,HS103194,01/04/2010 12:37:00 AM,077XX S CHAMPLAIN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,624,6,6,69,01A,1181905,1853863,2010,09/18/2022 04:45:51 PM,41.754225969,-87.608942917,"(41.754225969, -87.608942917)"
19738,HT104380,01/04/2011 06:57:00 AM,013XX W HASTINGS ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1231,12,2,28,01A,1167623,1893850,2011,09/18/2022 04:45:51 PM,41.864272772,-87.660133858,"(41.864272772, -87.660133858)"
19739,HT104792,01/04/2011 12:18:00 PM,045XX N MAGNOLIA AVE,110,HOMICIDE,FIRST DEGREE MURDER,PARKING LOT,true,false,2311,19,46,3,01A,1167100,1930371,2011,09/18/2022 04:45:51 PM,41.964499839,-87.661002797,"(41.964499839, -87.661002797)"
20230,HV104908,01/04/2012 08:11:00 PM,057XX S LAFLIN ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,713,7,16,67,01A,1167316,1866729,2012,08/31/2022 04:51:30 PM,41.789856574,-87.662038784,"(41.789856574, -87.662038784)"
20229,HV103489,01/04/2012 09:20:00 AM,024XX W 71ST ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,832,8,15,66,01A,1161166,1857504,2012,08/31/2022 04:51:30 PM,41.764671452,-87.684844209,"(41.764671452, -87.684844209)"
21082,HW104947,01/04/2013 07:30:00 PM,031XX N BERNARD ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,true,1412,14,35,21,01A,1152846,1920617,2013,09/18/2022 04:45:51 PM,41.938029128,-87.713670269,"(41.938029128, -87.713670269)"
22250,HZ103309,01/04/2016 08:58:00 AM,004XX N CENTRAL AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,15,28,25,01A,1138964,1902333,2016,09/18/2022 04:45:51 PM,41.888119752,-87.765135251,"(41.888119752, -87.765135251)"
23064,JA103468,01/04/2017 05:59:00 AM,032XX W LEXINGTON ST,110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,false,false,1134,11,24,27,01A,1154943,1896522,2017,09/18/2022 04:45:51 PM,41.871868444,-87.706610311,"(41.871868444, -87.706610311)"
23063,JA102602,01/04/2017 12:41:00 AM,034XX W FULTON BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1123,11,28,27,01A,1153437,1901785,2017,09/18/2022 04:45:51 PM,41.886340707,-87.711999596,"(41.886340707, -87.711999596)"
24894,JD103699,01/04/2020 02:21:00 AM,071XX W DIVERSEY AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,2511,25,29,18,01A,1127817,1917801,2020,09/18/2022 04:45:51 PM,41.930761285,-87.805722243,"(41.930761285, -87.805722243)"
24895,JD104512,01/04/2020 06:57:00 PM,030XX W 60TH ST,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,823,8,16,66,01A,1156937,1864690,2020,08/31/2022 04:51:30 PM,41.78447735,-87.700150848,"(41.78447735, -87.700150848)"
25704,JE103396,01/04/2021 07:23:00 PM,078XX S INDIANA AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,623,6,6,69,01A,1178953,1852977,2021,09/18/2022 04:45:51 PM,41.751862382,-87.619787884,"(41.751862382, -87.619787884)"
25705,JE103451,01/04/2021 08:54:00 PM,036XX W POLK ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1133,11,24,27,01A,1152321,1896125,2021,09/18/2022 04:45:51 PM,41.870831162,-87.716247283,"(41.870831162, -87.716247283)"
25706,JE103492,01/04/2021 10:40:00 PM,056XX S PRINCETON AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,false,false,711,7,3,68,01A,1175251,1867477,2021,09/18/2022 04:45:51 PM,41.791735461,-87.632921214,"(41.791735461, -87.632921214)"
26550,JF103458,01/04/2022 06:33:00 PM,122XX S WALLACE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,523,5,34,53,01A,1174519,1823793,2022,03/18/2023 04:46:35 PM,41.671877072,-87.636901383,"(41.671877072, -87.636901383)"
26716,JD241157,01/04/2022 09:26:00 AM,000XX W 105TH ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,512,5,34,49,01A,1177877,1835347,2022,09/18/2022 04:45:51 PM,41.703507823,-87.624263094,"(41.703507823, -87.624263094)"
26552,JF103620,01/04/2022 09:42:00 PM,021XX S MICHIGAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,132,1,3,33,01A,1177540,1890161,2022,09/18/2022 04:45:51 PM,41.853930752,-87.623841071,"(41.853930752, -87.623841071)"
26551,JF103538,01/04/2022 09:50:00 PM,003XX W 75TH ST,110,HOMICIDE,FIRST DEGREE MURDER,LIQUOR STORE,false,false,731,7,6,69,01A,1175109,1855215,2022,09/18/2022 04:45:51 PM,41.758090343,-87.633807628,"(41.758090343, -87.633807628)"
20231,HV105192,01/05/2012 02:35:00 AM,046XX W MONROE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1113,11,28,25,01A,1145493,1899161,2012,08/31/2022 04:51:30 PM,41.879294275,-87.741238618,"(41.879294275, -87.741238618)"
20232,HV103598,01/05/2012 08:00:00 AM,017XX W ALBION AVE,110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,true,2432,24,40,1,01A,1163697,1943895,2012,09/18/2022 04:45:51 PM,42.001682746,-87.67313138,"(42.001682746, -87.67313138)"
20755,HW105881,01/05/2013 03:52:00 PM,055XX S LOOMIS BLVD,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,713,7,16,67,01A,1167943,1867949,2013,08/31/2022 04:51:30 PM,41.793190941,-87.659704705,"(41.793190941, -87.659704705)"
20757,HW106139,01/05/2013 07:26:00 PM,083XX S KINGSTON AVE,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,423,4,7,46,01A,1194622,1850112,2013,09/18/2022 04:45:51 PM,41.743629649,-87.562463183,"(41.743629649, -87.562463183)"
20754,HW105394,01/05/2013 08:06:00 AM,015XX N TALMAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1423,14,26,24,01A,1158470,1910038,2013,08/31/2022 04:51:30 PM,41.908886162,-87.693291067,"(41.908886162, -87.693291067)"
20756,HW100786,01/05/2013 08:33:00 PM,087XX S HONORE ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,2221,22,21,71,01A,1165541,1846641,2013,09/18/2022 04:45:51 PM,41.734770191,-87.669115954,"(41.734770191, -87.669115954)"
21213,HX104147,01/05/2014 05:40:00 AM,005XX E 38TH PL,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,false,212,2,4,35,01A,1180426,1879579,2014,09/18/2022 04:45:51 PM,41.824827097,-87.613573964,"(41.824827097, -87.613573964)"
21715,HY105400,01/05/2015 10:11:00 PM,035XX W 77TH PL,110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,835,8,18,70,01A,1154231,1852987,2015,09/18/2022 04:45:51 PM,41.752416738,-87.710383001,"(41.752416738, -87.710383001)"
22251,HZ104099,01/05/2016 01:52:00 AM,017XX S LEAVITT ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1234,12,25,31,01A,1161982,1891481,2016,09/18/2022 04:45:51 PM,41.857891524,-87.680907884,"(41.857891524, -87.680907884)"
22256,HZ105012,01/05/2016 04:28:00 PM,076XX S DORCHESTER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,411,4,5,43,01A,1186863,1854745,2016,08/31/2022 04:51:30 PM,41.75653027,-87.59074578,"(41.75653027, -87.59074578)"
22255,HZ105012,01/05/2016 04:31:00 PM,076XX S DORCHESTER AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,411,4,5,43,01A,1186863,1854745,2016,09/18/2022 04:45:51 PM,41.75653027,-87.59074578,"(41.75653027, -87.59074578)"
22254,HZ105412,01/05/2016 09:25:00 PM,020XX W 52ND PL,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,932,9,16,61,01A,1163660,1869676,2016,08/31/2022 04:51:30 PM,41.798021066,-87.6753616,"(41.798021066, -87.6753616)"
22253,HZ105404,01/05/2016 09:57:00 PM,046XX S TALMAN AVE,110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,922,9,12,58,01A,1159479,1873868,2016,09/18/2022 04:45:51 PM,41.809611253,-87.690579179,"(41.809611253, -87.690579179)"
23065,JA105744,01/05/2017 11:30:00 PM,008XX E 46TH ST,110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,221,2,4,39,01A,1182638,1874692,2017,09/18/2022 04:45:51 PM,41.811365671,-87.605610722,"(41.811365671, -87.605610722)"
23763,JB105765,01/05/2018 06:50:00 PM,053XX W LAKE ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1523,15,37,25,01A,1140721,1902054,2018,09/18/2022 04:45:51 PM,41.887322035,-87.758689717,"(41.887322035, -87.758689717)"
24370,JC105864,01/05/2019 04:23:00 PM,012XX N ADA ST,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1433,14,2,24,01A,1167119,1908611,2019,08/31/2022 04:51:30 PM,41.904788891,-87.66155984,"(41.904788891, -87.66155984)"
24897,JD105251,01/05/2020 04:00:00 AM,100XX S AVENUE M,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,432,4,10,52,01A,1201484,1839105,2020,09/18/2022 04:45:51 PM,41.713254199,-87.537693709,"(41.713254199, -87.537693709)"
24896,JD105251,01/05/2020 04:33:00 PM,100XX S AVENUE M,110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,432,4,10,52,01A,1201484,1839105,2020,09/18/2022 04:45:51 PM,41.713254199,-87.537693709,"(41.713254199, -87.537693709)"
